071	vuelo.teLoPasaste	Te pasaste. Frená y volvé
072	vuelo.yaPodesTocar	Ya podés tocar
073	vuelo.sinPermiso	Entraste sin la luz verde. La próxima, esperala
074	circuito.subida	Subí derecho por el eje
075	circuito.cruzado	Girá a la izquierda: volvemos a la pista
076	circuito.encola	Volá al lado de la pista, con ella a tu izquierda
077	circuito.base	Girá otra vez y empezá a bajar: ya vamos a aterrizar
078	percance.ocupada	La pista estaba ocupada y te dijeron que no bajaras
079	percance.coche	Le pasaste por encima al coche
080	percance.edificio	Chocaste con un edificio
081	percance.fuera	Tocaste tierra fuera de la pista
082	percance.golpe	Llegaste dando un golpe
083	percance.pasada	Te pasaste del final de la pista
084	percance.sinpermiso	Entraste en la pista sin la luz verde
085	percance.sintren	Tocaste tierra sin sacar el tren
086	fin.horas	Lo que llevás volado
087	fin.llegaste	¡Llegaste! Ya estás en casa
088	fin.bien	¡Buen vuelo!
089	fin.muyBien	¡Gran vuelo!
090	fin.otra	Otro vuelo
091	fin.redondo	¡Vuelo redondo! No se puede hacer mejor
092	grado.aprendiz	Aprendiz
093	grado.piloto	Piloto
094	grado.comandante	Comandante
095	grado.instructora	Instructora
096	galon.manga	Los galones de este vuelo
097	galon.aproximacion	Galón de la aproximación
098	galon.toma	Galón del aterrizaje
099	galon.aros	Galón de los aros
100	galon.velocidad	Galón de la velocidad
101	galon.rodaje	Galón del rodaje
102	galon.frustrada	Galón de la frustrada
103	tutor.throttle	Dale motor
104	tutor.speed	Esperá a que corra
105	tutor.pull	Tirá para arriba
106	tutor.flying	¡Estás volando!
107	tutor.frenar	Frená
108	tutor.salir	Seguí la raya y salí de la pista
109	tutor.slow	Bajá el motor
110	motivo.sinPista	No se ve la pista
111	motivo.lento	Vas muy despacio
112	motivo.cayendo	Estás cayendo muy rápido
113	motivo.rapido	Vas muy rápido
114	motivo.torcido	Estás torcido
115	motivo.descolocado	Estás fuera del eje
116	mission.rio.name	Ver el río
117	mission.rioabajo.name	Seguir el río
118	mission.mar.name	Salir al mar
119	mission.anaga.name	A Anaga
120	mission.cumbre.name	A la cumbre
121	mission.lomas.name	A las lomas
122	mission.first.name	Tu primer vuelo
123	mission.valley.name	La vuelta al valle
124	mission.transfer.name	El traslado
125	mission.step	¡Bien! Seguí
126	mission.done	¡Misión cumplida!
127	mission.none	Vuelo libre
128	ala.dice.arriba	Mirá el azul: casi toda la fuerza la hace el aire de arriba, chupando. Y mirá cómo el aire sale para abajo detrás del ala.
129	ala.dice.arrastra	Con más ángulo sube más… pero también frena mucho más. Por eso no se vuela con el morro arriba del todo.
130	ala.dice.cerca	Cuidado: un poco más de ángulo y el aire se suelta.
131	ala.dice.perdida	El aire se despegó del ala: mirá los remolinos, y cómo el azul ya solo queda en la puntita de adelante. Eso es la pérdida: bajá el morro y vuelve.
